"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "SCSS", "CSS", "TypeScript React", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Vito\dev-events\front-end\src\layouts\layout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Vito\dev-events\front-end\src\modules\context.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Vito\dev-events\front-end\src\pages\events.tsx", "TypeScript React", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"c:\Vito\dev-events\front-end\src\pages\home.tsx", "TypeScript React", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 8, 29
"c:\Vito\dev-events\front-end\src\pages\singleEvent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 313, 0, 0, 0, 1, 15, 329
"c:\Vito\dev-events\front-end\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Vito\dev-events\front-end\src\styles\App.scss", "SCSS", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Vito\dev-events\front-end\src\styles\currentEvent.scss", "SCSS", 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 2, 193
"c:\Vito\dev-events\front-end\src\styles\emailReceiver.scss", "SCSS", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 2, 106
"c:\Vito\dev-events\front-end\src\styles\events.scss", "SCSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Vito\dev-events\front-end\src\styles\eventsFilter.scss", "SCSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 4
"c:\Vito\dev-events\front-end\src\styles\footer.scss", "SCSS", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 2, 79
"c:\Vito\dev-events\front-end\src\styles\header.scss", "SCSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Vito\dev-events\front-end\src\styles\home.scss", "SCSS", 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 4, 43
"c:\Vito\dev-events\front-end\src\styles\homeEvents.scss", "SCSS", 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 2, 183
"c:\Vito\dev-events\front-end\src\styles\index.css", "CSS", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\Vito\dev-events\front-end\src\styles\navbar.scss", "SCSS", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 3, 171
"c:\Vito\dev-events\front-end\src\styles\newEvent.scss", "SCSS", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Vito\dev-events\front-end\src\styles\pathContainer.scss", "SCSS", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 2, 57
"c:\Vito\dev-events\front-end\src\styles\resposive\event-responsive.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 727, 3, 730
"c:\Vito\dev-events\front-end\src\styles\resposive\footer-resposive.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 1, 57
"c:\Vito\dev-events\front-end\src\styles\resposive\home-responsive.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 513, 3, 516
"c:\Vito\dev-events\front-end\src\styles\resposive\navbar-resposive.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 4, 211
"c:\Vito\dev-events\front-end\src\styles\singleEvent.scss", "SCSS", 0, 0, 0, 632, 0, 0, 0, 0, 0, 3, 2, 637
"c:\Vito\dev-events\front-end\src\styles\supporters.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Vito\dev-events\front-end\src\styles\variables.scss", "SCSS", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 7, 135
"c:\Vito\dev-events\front-end\tsconfig.json", "JSON with Comments", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Vito\dev-events\license.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"Total", "-", 45, 19, 22, 1670, 33, 1025, 281, 28881, 17, 1530, 255, 33778
